자치구,안심 주소,용도,위도,경도,수량,데이터기준일자
양천구,서울특별시 구로구 개봉동 고척로21나길 85 건영아파트,도심공원,37.5018,126.84018,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로14나길 35 ,도심공원,37.5055,126.86674,3,2021-01-29
양천구,신정동 814,도심공원,37.5058721,126.8398706,3,2021-01-29
양천구,신정동 337-13,도심공원,37.50791,126.86886,2,2021-01-29
양천구,신정동 산 103-1,도심공원,37.50831,126.85535,2,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로 684 세영프라임,도심공원,37.5089117,126.843628,2,2021-01-29
양천구,신정동 171-61,도심공원,37.50908086,126.869504,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로17길 26 공중화장실,도심공원,37.50924,126.85564,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 106 공공형 실내놀이터,도심공원,37.50969,126.87009,2,2021-01-29
양천구,신정동 621,도심공원,37.51038096,126.8564904,5,2021-01-29
양천구,신정동 621,도심공원,37.51073057,126.8553884,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 100 파크샤인,도심공원,37.51078355,126.8695487,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 100 파크샤인,도심공원,37.51095702,126.8698788,4,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로88길 19 넓은들공원관리사무소,도심공원,37.5113085,126.839395,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정로11길 50 ,도심공원,37.5113126,126.837887,2,2021-01-29
양천구,신정동 325-2,도심공원,37.51142,126.85819,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정이펜1로 11 대일관광고등학교,도심공원,37.51168,126.83479,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정이펜1로 11 대일관광고등학교,도심공원,37.51185,126.83427,2,2021-01-29
양천구,서울특별시 양천구 신정동 남부순환로86길 24 대정이오스 신정1차,도심공원,37.512234,126.8407287,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정로7길 70 푸른마을 1단지아파트,도심공원,37.51233,126.83511,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정로11길 50 ,도심공원,37.5125049,126.8376416,2,2021-01-29
양천구,신정동  326-2,도심공원,37.512521,126.8612893,2,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 24 양천도시농업공원 관리사무소,도심공원,37.512579,126.826243,2,2021-01-29
양천구,신정동 1316-2,도심공원,37.5126845,126.831663,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정로13가길 30 서울장수초등학교,도심공원,37.51347,126.84567,3,2021-01-29
양천구,서울특별시 양천구 신정동 신정로13가길 30 서울장수초등학교,도심공원,37.51356,126.84528,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정로7길 81 양천중앙도서관,도심공원,37.51375,126.8331,2,2021-01-29
양천구,신정동 1259,도심공원,37.51406316,126.8530977,5,2021-01-29
양천구,서울특별시 양천구 신정동 신정로7길 91 공중화장실,도심공원,37.51412,126.83389,3,2021-01-29
양천구,서울특별시 양천구 신정동 신정로7길 91 공중화장실,도심공원,37.51417,126.83333,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 204 양명초등학교,도심공원,37.514689,126.855716,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로80길 13 ,도심공원,37.5154251,126.8385432,2,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 110 ,도심공원,37.5154269,126.836443,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 1 ,도심공원,37.516578,126.850908,2,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 128 ,도심공원,37.516735,126.83817,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29길 64 신일해피트리,도심공원,37.51754,126.84806,3,2021-01-29
양천구,신정동 311-1,도심공원,37.5176551,126.858408,2,2021-01-29
양천구,신월동 987-2,도심공원,37.5178931,126.832617,2,2021-01-29
양천구,신정동 320,도심공원,37.51793,126.86821,5,2021-01-29
양천구, 신정동 320,도심공원,37.51793,126.86822,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 563 ,도심공원,37.51863953,126.839921,5,2021-01-29
양천구,서울특별시 양천구 신월동 지양로7길 27 건우빌라,도심공원,37.51982,126.83226,2,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 181 삼익1차 플라주아파트,도심공원,37.5199608,126.842024,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로72길 11 ,도심공원,37.5204187,126.836169,2,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 287 동문비젼오피스텔,도심공원,37.521061,126.868611,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로7길 28 공중화장실,도심공원,37.5211786,126.8294979,5,2021-01-29
양천구,서울특별시 양천구 신월동 오목로 28 미진아트빌,도심공원,37.52119,126.84273,1,2021-01-29
양천구,신월동 331-5,도심공원,37.52164023,126.8289889,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로12길 13 ,도심공원,37.52168,126.8759,2,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29길 108 대성유니드아파트,도심공원,37.5216825,126.848328,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로11길 16 대성주택,도심공원,37.52178,126.83075,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로 61 ,도심공원,37.5218429,126.834679,2,2021-01-29
양천구,서울특별시 양천구 신정동 신월로 309 ,도심공원,37.5219532,126.8550085,2,2021-01-29
양천구,서울특별시 양천구 신월동 지양로13길 10 ,도심공원,37.52207004,126.8308081,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로45길 42 정은스카이빌2,도심공원,37.52264,126.84854,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로10길 5 ,도심공원,37.52304,126.83352,2,2021-01-29
양천구,서울특별시 양천구 신정동 오목로40길 2 ,도심공원,37.5240576,126.8578506,2,2021-01-29
양천구,신월동 926-19,도심공원,37.52413938,126.835391,3,2021-01-29
양천구,서울특별시 양천구 신월동 지양로 102 ,도심공원,37.5246296,126.831866,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동로17길 20 ,도심공원,37.5249908,126.8617409,2,2021-01-29
양천구,서울특별시 양천구 신월동 국회대로 47 ,도심공원,37.526253,126.840702,2,2021-01-29
양천구,서울특별시 양천구 신정동 신정중앙로 58 흥영주상복합빌딩,도심공원,37.52638,126.8586,2,2021-01-29
양천구,서울특별시 양천구 신월동 중앙로 341 ,도심공원,37.5264181,126.848436,4,2021-01-29
양천구,서울특별시 양천구 신정동 신정중앙로14길 7 ,도심공원,37.52651,126.85504,1,2021-01-29
양천구,서울특별시 양천구 신월동 국회대로 29 신월빌딩,도심공원,37.5269898,126.838172,1,2021-01-29
양천구,서울특별시 양천구 신정동 국회대로 144 ,도심공원,37.5273617,126.851229,1,2021-01-29
양천구,서울특별시 양천구 목동 목동서로 159 ,도심공원,37.52751,126.87361,3,2021-01-29
양천구,서울특별시 양천구 신정동 신정중앙로 37 ,도심공원,37.5279373,126.856507,2,2021-01-29
양천구,서울특별시 양천구 신정동 국회대로8길 8 삼성아파트,도심공원,37.52853,126.86226,2,2021-01-29
양천구,서울특별시 양천구 신월동 곰달래로 7 ,도심공원,37.53054,126.83329,2,2021-01-29
양천구,서울특별시 양천구 신월동 곰달래로11길 29 밀레니엄타운,도심공원,37.5320064,126.8356802,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 380 주차전용빌딩,도심공원,37.53208,126.8288,2,2021-01-29
양천구,서울특별시 양천구 신월동 곰달래로11길 35 ,도심공원,37.5322491,126.834611,4,2021-01-29
양천구,서울특별시 양천구 목동 등촌로 40 ,도심공원,37.53348,126.8647,1,2021-01-29
양천구,서울특별시 양천구 목동 목동동로 363 파리공원,도심공원,37.53429,126.8771,1,2021-01-29
양천구,서울특별시 양천구 목동 목동동로 363 파리공원,도심공원,37.53441,126.87726,1,2021-01-29
양천구,목동 906,도심공원,37.5346,126.8769,3,2021-01-29
양천구,서울특별시 양천구 목동 목동동로 363 파리공원,도심공원,37.53472,126.87713,1,2021-01-29
양천구,서울특별시 양천구 신월동 가로공원로56길 21 ,도심공원,37.53484,126.82596,2,2021-01-29
양천구,목동 903-2,도심공원,37.53488,126.87294,4,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙남로 7 조오빌딩,도심공원,37.5352,126.86866,2,2021-01-29
양천구,서울특별시 양천구 신월동 가로공원로55길 15 ,도심공원,37.536205,126.824656,4,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙남로 51 ,도심공원,37.5383328,126.864639,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로31길 13 ,도심공원,37.5386754,126.8285328,2,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙로9길 39 ,도심공원,37.53940063,126.8730759,5,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙로9길 39 ,도심공원,37.53947492,126.8737847,2,2021-01-29
양천구,목동 231-187,도심공원,37.54122544,126.8738175,3,2021-01-29
양천구,서울특별시 양천구 신월동 월정로 281 ,도심공원,37.541523,126.828736,1,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙남로 81 ,도심공원,37.54175,126.86425,2,2021-01-29
양천구,서울특별시 양천구 목동 용왕정길 32 공중화장실,도심공원,37.54236,126.877,2,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙본로 69 삼성빌딩,도심공원,37.5427705,126.869084,2,2021-01-29
양천구,서울특별시 양천구 목동 용왕정길 41 용왕산 실내배드민턴장,도심공원,37.54303,126.87723,2,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙본로7가길 70 ,도심공원,37.54346497,126.8679335,2,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙남로16길 47 목동 비바체,도심공원,37.54358665,126.866492,4,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙본로7가길 70 ,도심공원,37.54376341,126.8676322,3,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙본로 82 ,도심공원,37.54394548,126.8692996,3,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙북로8길 84 ,도심공원,37.54402975,126.8662053,4,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙남로16나길 59 ,도심공원,37.5452887,126.864933,2,2021-01-29
양천구,서울특별시 양천구 목동 목동중앙본로 106 ,도심공원,37.54541,126.87152,3,2021-01-29
